10 5 10
9.938 5.782 10
9.755 6.545 10
9.455 7.27 10
9.045 7.939 10
8.536 8.536 10
7.939 9.045 10
7.27 9.455 10
6.545 9.755 10
5.782 9.938 10
5 10 10
4.218 9.938 10
3.455 9.755 10
2.73 9.455 10
2.061 9.045 10
1.464 8.536 10
0.9549 7.939 10
0.545 7.27 10
0.2447 6.545 10
0.06156 5.782 10
0 5 10
0.06156 4.218 10
0.2447 3.455 10
0.545 2.73 10
0.9549 2.061 10
1.464 1.464 10
2.061 0.9549 10
2.73 0.545 10
3.455 0.2447 10
4.218 0.06156 10
5 0 10
5.782 0.06156 10
6.545 0.2447 10
7.27 0.545 10
7.939 0.9549 10
8.536 1.464 10
9.045 2.061 10
9.455 2.73 10
9.755 3.455 10
9.938 4.218 10
9.816 4.918 9.796
9.774 5.685 9.796
9.613 6.432 9.796
9.338 7.142 9.796
8.954 7.797 9.796
8.474 8.382 9.796
7.908 8.881 9.796
7.271 9.282 9.796
6.579 9.577 9.796
5.85 9.756 9.796
5.102 9.816 9.796
4.336 9.774 9.796
3.588 9.613 9.796
2.878 9.338 9.796
2.223 8.954 9.796
1.639 8.474 9.796
1.14 7.908 9.796
0.7379 7.271 9.796
0.4438 6.579 9.796
0.2644 5.85 9.796
0.2041 5.102 9.796
0.246 4.336 9.796
0.4071 3.588 9.796
0.6828 2.878 9.796
1.066 2.223 9.796
1.547 1.639 9.796
2.113 1.14 9.796
2.75 0.7379 9.796
3.442 0.4438 9.796
4.171 0.2644 9.796
4.918 0.2041 9.796
5.685 0.246 9.796
6.432 0.4071 9.796
7.142 0.6828 9.796
7.797 1.066 9.796
8.382 1.547 9.796
8.881 2.113 9.796
9.282 2.75 9.796
9.577 3.442 9.796
9.756 4.171 9.796
9.633 4.837 9.592
9.61 5.587 9.592
9.471 6.319 9.592
9.22 7.014 9.592
8.864 7.656 9.592
8.412 8.228 9.592
7.876 8.717 9.592
7.271 9.11 9.592
6.613 9.398 9.592
5.918 9.574 9.592
5.204 9.633 9.592
4.454 9.61 9.592
3.722 9.471 9.592
3.027 9.22 9.592
2.385 8.864 9.592
1.813 8.412 9.592
1.324 7.876 9.592
0.9309 7.271 9.592
0.6429 6.613 9.592
0.4672 5.918 9.592
0.4082 5.204 9.592
0.4305 4.454 9.592
0.5694 3.722 9.592
0.8207 3.027 9.592
1.177 2.385 9.592
1.629 1.813 9.592
2.165 1.324 9.592
2.77 0.9309 9.592
3.428 0.6429 9.592
4.123 0.4672 9.592
4.837 0.4082 9.592
5.587 0.4305 9.592
6.319 0.5694 9.592
7.014 0.8207 9.592
7.656 1.177 9.592
8.228 1.629 9.592
8.717 2.165 9.592
9.11 2.77 9.592
9.398 3.428 9.592
9.574 4.123 9.592
9.449 4.755 9.388
9.446 5.489 9.388
9.329 6.206 9.388
9.103 6.886 9.388
8.773 7.514 9.388
8.35 8.074 9.388
7.845 8.553 9.388
7.272 8.937 9.388
6.646 9.219 9.388
5.985 9.391 9.388
5.306 9.449 9.388
4.572 9.446 9.388
3.856 9.329 9.388
3.175 9.103 9.388
2.547 8.773 9.388
1.987 8.35 9.388
1.509 7.845 9.388
1.124 7.272 9.388
0.842 6.646 9.388
0.67 5.985 9.388
0.6122 5.306 9.388
0.6149 4.572 9.388
0.7318 3.856 9.388
0.9585 3.175 9.388
1.288 2.547 9.388
1.712 1.987 9.388
2.217 1.509 9.388
2.789 1.124 9.388
3.415 0.842 9.388
4.076 0.67 9.388
4.755 0.6122 9.388
5.489 0.6149 9.388
6.206 0.7318 9.388
6.886 0.9585 9.388
7.514 1.288 9.388
8.074 1.712 9.388
8.553 2.217 9.388
8.937 2.789 9.388
9.219 3.415 9.388
9.391 4.076 9.388
9.265 4.673 9.184
